id,thematic_lot,title,subtheme,subsubtheme,download_url
12996,EMODnet Bathymetry,V2022 Satellite derived Coastline LAT,Coastlines,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_coastlines.zip
12997,EMODnet Bathymetry,V2022 Satellite derived Coastline MHW,Coastlines,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_coastlines.zip
12998,EMODnet Bathymetry,V2022 Satellite derived Coastline MSL,Coastlines,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_coastlines.zip
12767,EMODnet Bathymetry,V2022 OpenStreetMap Coastline,Coastlines,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_coastlines.zip
12999,EMODnet Bathymetry,V2022 Combined Quality Age,Data quality,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_quality_index.zip
13000,EMODnet Bathymetry,V2022 Combined Quality Index,Data quality,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_quality_index.zip
13001,EMODnet Bathymetry,V2022 Combined Quality Horizontal,Data quality,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_quality_index.zip
13003,EMODnet Bathymetry,V2022 Combined Quality Purpose,Data quality,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_quality_index.zip
13002,EMODnet Bathymetry,V2022 Combined Quality Vertical,Data quality,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_quality_index.zip
12995,EMODnet Bathymetry,EMODnet viewer (V2022): Bathymetric contours,Depth,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_contours.zip
13007,EMODnet Bathymetry,V2022 High Resolution Bathymetry,Depth,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_High_Resolution_datasets.zip
13004,EMODnet Bathymetry,V2022 EMODnet viewer- Mean depth in multi colour (no land),Depth,,https://erddap.emodnet.eu/erddap/files/bathymetry_2022/
13006,EMODnet Bathymetry,V2022 EMODnet viewer- Mean depth full coverage with land coverage,Depth,,https://erddap.emodnet.eu/erddap/files/bathymetry_2022/
13005,EMODnet Bathymetry,V2022 EMODnet viewer: Mean depth in rainbow colour ramp (no land),Depth,,https://erddap.emodnet.eu/erddap/files/bathymetry_2022/
12721,EMODnet Bathymetry,EMODNET Bathymetry - Tiles,DTM Tiles,,
13012,EMODnet Bathymetry,V2022 Source references,Source metadata,,https://downloads.emodnet-bathymetry.eu/v11/EMODnet_Bathymetry_2022_source_references.zip
12425,EMODnet Bathymetry,Survey tracks/polygons,Source metadata,,
13008,EMODnet Bathymetry,V2022 GEBCO Undersea Features,Topography,,
13009,EMODnet Bathymetry,V2022 Land geography and topography,Topography,,
13010,EMODnet Bathymetry,V2022 Geographic names on land,Topography,,
13011,EMODnet Bathymetry,V2022 Sea Names,Topography,,https://downloads.emodnet-bathymetry.eu/EMODnet_Bathymetry_sea_names.zip
12639,EMODnet Biology,EurOBIS database observations,. Occurrence data,,https://s3.waw3-1.cloudferro.com/emodnet/biology/eurobis_occurrence_data/eurobis_occurrences_geoparquet_2024-10-01.parquet
12640,EMODnet Biology,Data product numerical abundance of benthic macroinvertebrates in North Sea and Baltic Sea,Benthic invertebrate abundance and distribution,,https://erddap.emodnet.eu/erddap/files/biology_6648_Benthos_NorthSea-BalticSea_7eb9_d3ea_6c8d/00_2021_6648_abundance_benthos_erddap.nc
12975,EMODnet Biology,Presence/absence maps of benthos in the European Seas,Benthic invertebrate abundance and distribution,,https://mda.vliz.be/download.php?file=VLIZ_00000727_640f2ae069c07615997234
12961,EMODnet Biology,Probability maps for different benthos species in the North Sea,Benthic invertebrate abundance and distribution,,https://erddap.emodnet.eu/erddap/files/biology_6640_benthos_NorthSea_e4af_0f0e_6a73/04_2021_6640_diva_benthos_erddap.nc
12980,EMODnet Biology,Temporal changes in benthic communities,Benthic invertebrate abundance and distribution,,https://erddap.emodnet.eu/erddap/files/biology_8229_fb0d_a499_0111/all_diversity_measures.nc
13656,EMODnet Biology,3D habitat suitability maps of the 30 main commercial fish species from the Atlantic Ocean,Fish abundance and distribution,,https://erddap.emodnet.eu/erddap/files/biology_3Dmaps_b1af_c515_4ef4/3Dmaps_all30SPs.nc
13665,EMODnet Biology,"Modelled projections of habitat for commercial fish around North-western Europe under climate change, 2020 to 2060",Fish abundance and distribution,,https://erddap.emodnet.eu/erddap/files/biology_8522_mod_habitats_comm_fish_2090_f23a_5ced/2024_8522_modelled_habitats_commercial_fish.nc
13666,EMODnet Biology,"Modelled projections of habitat for fish species feeding guilds around North-western Europe under climate change, 2010 to 2095",Fish abundance and distribution,,https://erddap.emodnet.eu/erddap/files/biology_8598_78b9_0ca5_9176/2024_8598_modelled_habitats_feeding_guilds.nc
12962,EMODnet Biology,Species distribution model of invasive macroalgae,Macroalgae,,https://erddap.emodnet.eu/erddap/files/biology_8209_b262_6965_fbc0/kuenm_models_review.nc
12476,EMODnet Biology,Grey Seal Distribution Polygons,Mammals abundance and distribution,,http://mda.vliz.be/download.php?file=VLIZ_00000804_613762c25e03b056242317
12477,EMODnet Biology,Harbour Seal Distribution Polygons,Mammals abundance and distribution,,http://mda.vliz.be/download.php?file=VLIZ_00000804_613762c25e154511045202
12667,EMODnet Biology,Fraction of mixoplankton (photo-phagotrophic) species in the Greater North Sea and Celtic Seas,Other taxa,,https://mda.vliz.be/download.php?file=VLIZ_00000727_606484796b032223758279
12614,EMODnet Biology,Presence/Absence maps of phytoplankton in the Greater Baltic Sea,Phytoplankton biomass and diversity,,https://erddap.emodnet.eu/erddap/files/biology_phyto_6618_BalticSea_8b1e_5c90_9a2c/01_2021_6618_phyto_baltic_erddap.nc
12982,EMODnet Biology,Phytoplankton alpha diversity in the greater Baltic Sea area (richness),Phytoplankton biomass and diversity,Phytoplankton alpha diversity in the greater Baltic Sea,https://erddap.emodnet.eu/erddap/files/biology_8221_a45b_17fb_beeb/alpha_diversity.nc
12981,EMODnet Biology,Phytoplankton alpha diversity in the greater Baltic Sea area- Shannon,Phytoplankton biomass and diversity,Phytoplankton alpha diversity in the greater Baltic Sea,https://erddap.emodnet.eu/erddap/files/biology_8221_a45b_17fb_beeb/alpha_diversity.nc
14039,EMODnet Biology,Abundance of Loggerhead Turtles in the Mediterranean Sea,Reptiles,Loggerhead Turtles in the Mediterranean Sea,https://erddap.emodnet.eu/erddap/files/biology_8514_94a0_0784_7406/density_loggerhead_mediterranean_8514_epsg_3035.nc
13406,EMODnet Biology,Coefficient of Variation of Loggerhead Turtles in the Mediterranean Sea,Reptiles,Loggerhead Turtles in the Mediterranean Sea,https://erddap.emodnet.eu/erddap/files/biology_8514_94a0_0784_7406/density_loggerhead_mediterranean_8514_epsg_3035.nc
12979,EMODnet Biology,Calanus temporal change using nDIVA interpolation and multivariate analysis (Abundance),Zooplankton biomass and diversity,Calanus helgolandicus and finmarchicus temporal change,https://erddap.emodnet.eu/erddap/files/biology_8220_a8b5_8cec_1c23/calanus_finmarchicus_helgolandicus_year.nc
12984,EMODnet Biology,Calanus temporal change using nDIVA interpolation and multivariate analysis (Error),Zooplankton biomass and diversity,Calanus helgolandicus and finmarchicus temporal change,https://erddap.emodnet.eu/erddap/files/biology_8220_a8b5_8cec_1c23/calanus_finmarchicus_helgolandicus_year.nc
12959,EMODnet Chemistry,Beaches locations and litter list used - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_beacheslocations_monitoring.zip
11997,EMODnet Chemistry,Beach Litter - Composition of litter according to material categories in percent - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_materialcategories_monitoring.zip
11999,EMODnet Chemistry,Beach Litter - Median number of cigarette related items per 100m & to 1 survey - UNEP_MARLIN only - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_cigarette_unep_marlin_monitoring.zip
11998,EMODnet Chemistry,Beach Litter - Median number of cigarette related items per 100m & to 1 survey - without UNEP_MARLIN - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_cigarette_monitoring.zip
12000,EMODnet Chemistry,Beach Litter - Median number of fishing and aquaculture related plastic items per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_fishing_monitoring.zip
12001,EMODnet Chemistry,Beach Litter - Median number of plastic bags related items per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_plasticbags_monitoring.zip
12521,EMODnet Chemistry,Beach litter - Single use plastics (SUP) related items abundance normalized per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_singleuse_monitoring.zip
11996,EMODnet Chemistry,Beach Litter - Median total number of litter items per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_totalabundance_monitoring.zip
11995,EMODnet Chemistry,No. of surveys & temporal coverage per beach - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_temporalcoverage_numbersurveys_monitoring.zip
12519,EMODnet Chemistry,Beach litter - Total abundance (Nb. Items) of litter aggregated over a given period per beach - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_tot_abundance_all_years_beach_monitoring.zip
12002,EMODnet Chemistry,Beaches locations and litter list used - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_beacheslocations_other.zip
12005,EMODnet Chemistry,Beach Litter - Composition of litter according to material categories in percent normalized per beach per year - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_materialcategories_other.zip
